SIZE_AWG,DIAMETER_MIN,DIAMETER_NOM,DIAMETER_MAX,RESISTANCE_MIN,RESISTANCE_NOM,RESISTANCE_MAX,FEET_PER_POUND,POUNDS_PER_1000FT,CIRCULAR_MILS,ohms_per_meter,lbs_per_meter
6,0.1604,0.162,0.1633,0.3875,0.3952,0.4031,12.59,79.44,26240.0,0.001297,0.26062992
7,0.1429,0.1443,0.1454,0.4885,0.4981,0.5079,15.87,63.03,20820.0,0.001634,0.20679134
8,0.1272,0.1285,0.1294,0.6156,0.6281,0.641,20.01,49.98,16510.0,0.002061,0.16397638
9,0.1133,0.1144,0.1153,0.7774,0.7924,0.8079,25.24,39.62,13090.0,0.0026,0.12998688
10,0.1009,0.1019,0.1027,0.9795,0.9988,1.019,31.82,31.43,10380.0,0.003277,0.1031168
11,0.0898,0.0907,0.0916,1.236,1.261,1.286,40.2,24.9,8226.0,0.004137,0.08169291
12,0.08,0.0808,0.0816,1.558,1.589,1.62,50.6,19.8,6529.0,0.005213,0.06496063
13,0.0713,0.072,0.0727,1.962,2.001,2.04,63.7,15.7,5184.0,0.006565,0.05150919
14,0.0635,0.0641,0.0647,2.477,2.524,2.572,80.4,12.4,4109.0,0.008281,0.04068241
15,0.0565,0.0571,0.0577,3.115,3.181,3.249,101.0,9.87,3260.0,0.010436,0.03238189
16,0.0503,0.0508,0.0513,3.941,4.019,4.099,128.0,7.81,2581.0,0.013186,0.02562336
17,0.0448,0.0453,0.0458,4.944,5.054,5.167,161.0,6.21,2052.0,0.016581,0.02037402
18,0.0399,0.0403,0.0407,6.261,6.386,6.514,203.0,4.92,1624.0,0.020951,0.01614173
19,0.0355,0.0359,0.0363,7.871,8.047,8.229,256.0,3.9,1289.0,0.026401,0.01279528
20,0.0317,0.032,0.0323,9.941,10.13,10.32,323.0,3.1,1024.0,0.033235,0.0101706
21,0.0282,0.0285,0.0288,12.5,12.77,13.04,407.0,2.46,812.3,0.041896,0.00807087
22,0.025,0.0253,0.0256,15.82,16.2,16.59,516.0,1.94,640.1,0.05315,0.00636483
23,0.0224,0.0226,0.0228,19.95,20.31,20.67,647.0,1.55,510.8,0.066634,0.0050853
24,0.0199,0.0201,0.0203,25.17,25.67,26.19,818.0,1.22,404.0,0.084219,0.00400262
25,0.0177,0.0179,0.0181,31.66,32.37,33.1,1030.0,0.97,320.4,0.106201,0.00318241
26,0.0157,0.0159,0.0161,40.01,41.02,42.07,1310.0,0.765,252.8,0.13458,0.00250984
27,0.0141,0.0142,0.0143,50.72,51.43,52.17,1640.0,0.61,201.6,0.168734,0.00200131
28,0.0125,0.0126,0.0127,64.3,65.33,66.37,2080.0,0.481,158.8,0.214337,0.00157808
29,0.0112,0.0113,0.0114,79.8,81.22,82.68,2590.0,0.387,127.7,0.26647,0.00126969
30,0.0099,0.01,0.0101,101.7,103.7,105.8,3300.0,0.303,100.0,0.340223,0.00099409
31,0.0088,0.0089,0.009,128.0,130.9,133.9,4170.0,0.24,79.21,0.429462,0.0007874
32,0.0079,0.008,0.0081,158.1,162.0,166.2,5160.0,0.194,64.0,0.531496,0.00063648
33,0.007,0.0071,0.0072,200.1,205.7,211.7,6550.0,0.153,50.41,0.674869,0.00050197
34,0.0062,0.0063,0.0064,253.2,261.3,269.8,8320.0,0.12,39.69,0.857283,0.0003937
35,0.0055,0.0056,0.0057,319.2,330.7,342.8,10500.0,0.0949,31.36,1.084974,0.00031135
36,0.0049,0.005,0.0051,398.7,414.8,431.9,13200.0,0.0757,25.0,1.360892,0.00024836
37,0.0044,0.0045,0.0046,490.1,512.1,535.7,16300.0,0.0613,20.25,1.680118,0.00020112
38,0.0039,0.004,0.0041,617.0,648.2,681.9,20600.0,0.0484,16.0,2.12664,0.00015879
39,0.0034,0.0035,0.0036,800.2,846.6,897.1,27000.0,0.0371,12.25,2.777559,0.00012172
40,0.003,0.0031,0.0032,1013.0,1079.0,1152.0,34400.0,0.0291,9.61,3.540026,9.547e-05
41,0.0027,0.0028,0.0029,1233.0,1323.0,1423.0,42100.0,0.0237,7.84,4.340551,7.776e-05
42,0.0024,0.0025,0.0026,1534.0,1659.0,1801.0,52900.0,0.0189,6.25,5.442913,6.201e-05
43,0.0021,0.0022,0.0023,1960.0,2143.0,2352.0,68300.0,0.0147,4.84,7.03084,4.823e-05
44,0.0019,0.002,0.0021,2352.0,2593.0,2873.0,82600.0,0.0121,4.0,8.507218,3.97e-05
45,0.00169,0.00176,0.00183,3080.0,3348.0,3616.0,106500.0,0.00939,3.1,10.984252,3.081e-05
46,0.00151,0.00157,0.00164,3870.0,4207.0,4544.0,134400.0,0.00744,2.47,13.802493,2.441e-05
47,0.00135,0.0014,0.00146,4868.0,5291.0,5714.0,169200.0,0.00591,1.96,17.358924,1.939e-05
48,0.00119,0.00124,0.00129,6205.0,6745.0,7285.0,213400.0,0.00469,1.54,22.129265,1.539e-05
49,0.00107,0.00111,0.00116,7744.0,8417.0,9090.0,269700.0,0.00371,1.23,27.614829,1.217e-05
50,0.00095,0.00099,0.00103,9734.0,10580.0,11430.0,339700.0,0.00294,0.98,34.711286,9.65e-06
51,0.00085,0.00088,0.00092,12320.0,13390.0,14460.0,428400.0,0.00233,0.775,43.930446,7.64e-06
52,0.00075,0.00078,0.00081,15690.0,17050.0,18410.0,540000.0,0.00185,0.608,55.93832,6.07e-06
53,0.00067,0.0007,0.00073,19480.0,21170.0,22860.0,681200.0,0.00147,0.49,69.455381,4.82e-06
54,0.0006,0.00062,0.00065,24820.0,26980.0,29140.0,859100.0,0.00116,0.384,88.51706,3.81e-06
55,0.00053,0.00055,0.00057,31540.0,34280.0,37020.0,1083000.0,0.000923,0.303,112.467192,3.03e-06
56,0.00047,0.00049,0.00051,39730.0,43190.0,46650.0,1366000.0,0.000732,0.24,141.699475,2.4e-06
